R Branch,R-wavelength(nm),P Branch,P-wavelength(nm)
25,1528.054,	1,1543.1148
24,1528.4862,	2,1543.809
23,1528.9271,	3,1544.515
22,1529.376,	4,1545.2314
21,1529.8376,	5,1545.9563
20,1530.306,	6,1546.690
19,1530.786,	7,1547.435
18,1531.27646,	8,1548.190
17,1531.774,	9,1548.9554
16,1532.283,	10,1549.7302
15,1532.80246,	11,1550.5149
14,1533.329,	12,1551.311
13,1533.867,	13,1552.116
12,1534.41596,	14,1552.931
11,1534.972,	15,1553.756
10,1535.54016,	16,1554.5892
9,1536.1170,	17,1555.4346
8,1536.7034,	18,1556.292
7,1537.2997,	19,1557.157
6,1537.907,	20,1558.033
5,1538.5224,	21,1558.919
4,1539.149,	22,1559.814
3,1539.786,	23,1560.7185
2,1540.431,	24,1561.6344
1,1541.087,	25,1562.563
0,1541.753, 0, 0

